,ques_en,ans_en,ques_ha,ans_ha,label,image_id_2
0,What is on the window?,Blinds.,Menene akan tagar?,Labule.,1638,2394411
1,Why would a person watch the tower?,For time.,Meyasa mutumin zai kalli hasumiya?,Saboda lokaci.,2130,2363446
2,What is the surfer riding?,Surfboard.,Me mai wasan igiyar ruwa ɗin yake tuƙawa?,Abin hawa igiyar ruwa.,421,2390714
3,What form of baseball is used?,"A white, regulation baseball.",Wani nau'in kwando ke amfani da kwando?,"Farar, besbal mai ƙa'ida.",1018,2368860
4,Where are the parked cars?,On the street.,Ina ajiyayyun motocin?,A kan titi.,300,2372344
5,How many people in background?,1,Nawane adadin mutanen dake ƙasa cikin hoton?,1,8,2410448
6,What embody the fence made of?,Metal.,Abin da aka rufe shinge na?,Ƙarfe.,2744,2373265
7,How would you describe the color of the tables?,Blue.,Yaya zaka bayyana launin teburan?,Shuɗi.,2230,2392791
8,Where are the animals going?,To look for food.,Ina dabbobin suke tafiya?,Don neman abinci.,961,2411171
9,How many street foretoken are there?,One.,Nawa titinan titin?,Ɗaya.,2716,2415552
10,When was the picture taken?,Daytime.,Yaushe aka ɗauka hoton?,Lokacin rana.,1707,2416681
11,Who is holding a camera?,The woman.,Wa yake riƙe da kamara?,Matar.,1820,2336481
12,When was the photograph taken?,During the day.,Yaushe aka karba?,Da rana.,860,2319313
13,Who is there with her?,A photographer.,Waye a gurin tare da ita ?,Mai ɗaukan hoto.,1780,2345977
14,What color equal the painted wall?,Green.,Wane launi daidai bangon fentin?,Kore.,1530,2412457
15,What has red sail?,Boat.,Me yake da jan fulafulai?,Kwalekwale.,1607,2414008
16,What is the woman holding in her hand?,Alcohol.,Me matar ke riƙe dashi a hannun ta?,Giya.,1191,2330616
17,Where was the cake put?,On a table.,A ina aka saka kek ɗin?,A kan tebur.,298,2362811
18,What is the parking location?,Tarmac.,Menene filin ajiye motoci?,Kwalta.,1612,2379652
19,WHO represent tolerate in the picture?,No one.,Wanene yake wakiltar da wannan hoton?,Babu kowa.,638,2381478
20,What kind of tower is in this picture?,A clock tower.,Wani irin tower ne wannan a hoton?,Tower ɗin agogo.,2425,2395592
21,Where is the knife?,Laying on the plate.,Ina wuƙar?,Kan farantin.,1416,2372034
22,Why was the adult_female view_as a hose?,To clean the lamb.,Me yasa datti na manya_as,Dan wanke ɗan tunkiyan.,916,2418028
23,What color is the fence?,Red.,Wane launi ne shinge?,Ja.,1321,2418902
24,What constitute the person doing?,Surfing.,Me mutum ya yi?,Hawan igiyar ruwa?.,1251,2324679
25,How many headlights?,Two.,Nawane adadin fitilun gaba?,Biyu.,761,2409074
26,When will the rider get off of the horse?,When the race is over.,Yaushe mahayin zai sauka daga kan dokin?,Lokacin da tseren ya ƙare.,1698,2400445
27,What is in the photo?,A dog and cows.,Mene a jikin hoton?,Kare da shanu.,1455,2345710
28,Where is the dog?,In the sand.,Ina kare?,Kan ƙasa.,1438,2381223
29,How do the boy's forehead look?,Furled.,Ta yaya goshin yaron yake yi?,A tattare.,359,2399850
