,ques_en,ans_en,ques_ha,ans_ha,label,image_id_2
0,What color is the man's shirt?,White.,Menene launin rigar mutumin?,Fari.,1039,2335177
1,What is attached to the Westminster palace?,A tall tower.,Menene yake maƙale a jikin fadar Westminster?,Dogon hasumiya.,943,2392303
2,What are the horses walking on?,Sand.,Akan me dawakan suke tafiya?,Ƙasa.,2752,2321185
3,What are the ties on top of?,Blanket.,A kan me ɗamarorin wuyan suke?,Bargo.,674,2392923
4,Why is the ground white?,It's snowing.,Meyasa ƙasan yayi fari?,Dusar ƙanƙara ke zuba.,988,2365369
5,What are the people doing?,Walking.,Me mutanen sukeyi?,Tafiya.,2328,2365369
6,What are the Men doing?,Playing frisbee.,Me mutanen sukeyi?,Yin wasan frisbee.,2658,2392682
7,What are the people in the background doing?,Watching the Men play.,Me mutanen bayan sukeyi?,Kallon mazan suna wasan.,1392,2392682
8,What is on the man's wrist?,A wristband.,Menene a wuyan hannun mutumin?,Bandajin wuyan hannu.,660,2361297
9,What is covering the window?,A curtain.,Menene ya rufe tagar?,Labule.,1638,2415913
10,What color is the sink?,White.,Menene launin sink ɗin?,Fari.,1039,2415420
11,How many lights are on the front of the bus?,Eight.,Nawane adadin fitilolin gaban bas ɗin?,Takwas.,2345,2327133
12,When was the photo taken?,Daytime.,Yaushe aka ɗauki hoton?,Da rana.,860,2327133
13,Where are the forks?,On the napkin.,Ina cokula masu yatsu?,A kan adikon goge baki.,256,2376728
14,What color is the ground?,Tan.,Menene launin ƙasan?,Launin tan.,1660,2340094
15,How many cars do not have on their headlights?,One.,Nawane adadin motoci marasa fitila?,Ɗaya.,2716,2415601
16,Where is the white building located?,End of street.,A ina farin gini yake?,A ƙarshen titi.,395,2414132
17,What color are the stairs?,Red.,Menene launin matakalan?,Ja.,1321,2326262
18,What is the teddy bear wearing?,A bowtie.,Me ƴar tsanar ta ke sanye dashi?,Ɗamarar wuya mai kintinkiri.,2701,2316899
19,What is in the bowl?,Tomatoes.,Menene a cikin tasan?,Tumatir.,2482,2400596
20,How many light poles?,One.,Nawane adadin ƙarafunan fitila?,Ɗaya.,2716,2330978
21,Where is the fence?,Behind the man.,Ina shingen?,A bayan mutumin.,80,2389363
22,What is this object?,Snowman.,Menene wannan abun?,Mutumin dusar ƙanƙara.,1920,2359510
23,Where is the boat?,In the water.,Ina jirgin ruwan?,A cikin ruwan.,134,2328500
24,Where is this scene?,Airport.,Ina ne wannan gurin?,Filin jirgin sama.,1071,2379652
25,What is the man doing with left hand?,Steadying pizza while cutting.,Me mutumin yakeyi da hannun hagu?,Tsayarda fizza yayin yankawa.,2443,2367880
26,What color is out of bounds?,Red.,Wani launi ne a wajen iyaka?,Ja.,1321,2386210
27,How many sets of eyes can you see?,One.,Nawane adadin idanu da ka iya gani?,Ɗaya.,2716,2354438
